2017-04-22,2,1,1
2017-04-21,4,3,1
2017-04-20,1,1,0
2017-04-19,7,3,4
2017-04-18,11,3,8
2017-04-17,20,6,14
2017-04-16,11,5,6
2017-04-15,9,3,6
2017-04-14,7,3,4
2017-04-13,8,6,2
2017-04-12,18,8,10
2017-04-11,19,7,12
2017-04-10,30,14,16
2017-04-09,28,16,12
2017-04-08,30,14,16
2017-04-07,41,9,32
2017-04-06,38,12,26
2017-04-05,46,22,24
2017-04-04,37,15,22
2017-04-03,33,11,22
2017-04-02,50,27,23
2017-04-01,36,18,18
2017-03-31,45,19,26
2017-03-30,37,17,20
2017-03-29,49,18,31
2017-03-28,44,20,24
2017-03-27,59,21,38
2017-03-26,48,22,26
2017-03-25,40,16,24
2017-03-24,48,26,22
2017-03-23,26,10,16
2017-03-22,50,20,30
2017-03-21,37,27,10
2017-03-20,51,15,36
2017-03-19,61,25,36
2017-03-18,61,25,36
2017-03-17,37,27,10
2017-03-16,36,18,18
2017-03-15,50,20,30
2017-03-14,53,23,30
2017-03-13,50,26,24
2017-03-12,56,26,30
2017-03-11,51,19,32
2017-03-10,83,35,48
2017-03-09,63,31,32
2017-03-08,37,17,20
2017-03-07,53,19,34
2017-03-06,42,14,28
2017-03-05,28,14,14
2017-03-04,40,16,24
2017-03-03,38,14,24
2017-03-02,43,21,22
2017-03-01,40,20,20
2017-02-28,35,17,18
2017-02-27,45,21,24
2017-02-26,39,25,14
2017-02-25,32,15,17
2017-02-24,35,17,18
2017-02-23,17,7,10
2017-02-22,34,16,18
2017-02-21,27,11,16
2017-02-20,41,23,18
2017-02-19,29,21,8
2017-02-18,47,19,28
2017-02-17,46,22,24
2017-02-16,45,17,28
2017-02-15,65,29,36
2017-02-14,50,30,20
2017-02-13,65,39,26
2017-02-12,36,18,18
2017-02-11,41,13,28
2017-02-10,65,27,38
2017-02-09,64,22,42
2017-02-08,85,37,48
2017-02-07,75,31,44
2017-02-06,31,13,18
2017-02-05,6,2,4
2017-02-04,8,2,6
2017-02-03,9,0,9
2017-02-02,3,1,2
2017-02-01,4,1,3
2017-01-31,6,3,3
2017-01-30,3,0,3
2017-01-29,6,0,6
2017-01-28,3,1,2
2017-01-27,3,1,2
2017-01-26,10,5,5
2017-01-25,9,2,7
2017-01-24,12,3,9
2017-01-23,13,2,11
2017-01-22,9,0,9
2017-01-21,12,0,12
2017-01-20,19,6,13
2017-01-19,9,2,7
2017-01-18,19,5,14
2017-01-17,6,0,6
2017-01-16,14,2,12
2017-01-15,15,2,13
2017-01-14,12,1,11
2017-01-13,12,3,9
2017-01-12,7,1,6
2017-01-11,14,1,13
2017-01-10,8,2,6
2017-01-09,10,1,9
2017-01-08,13,2,11
2017-01-07,12,1,11
2017-01-06,9,1,8
2017-01-05,13,1,12
2017-01-04,7,3,4
2017-01-03,18,3,15
2017-01-02,10,1,9
2017-01-01,11,3,8
2016-12-31,7,3,4
2016-12-30,8,1,7
2016-12-29,11,3,8
2016-12-28,2,0,2
2016-12-27,4,1,3
2016-12-26,5,2,3
